"a";"laltitude";"longitude";"speed";"speedAcc";"direction";"directAcc";"vilocity";"x";"y";"z";"mark";"created_at"
"1";"35.7035";"-0.572173";"0";"0";"0";"0";"0.0215998";"-1.15643";"8.20279";"5.07107";"0";"1593439105252"
"2";"35.7035";"-0.572244";"0.0165807";"0";"234.688";"0";"0.0510088";"-2.98805";"8.28658";"3.96013";"0";"1593439110641"
"3";"35.6971";"-0.633575";"0";"0";"0";"0";"0.0570043";"-1.67599";"6.3137";"8.14053";"0";"1593536302618"
"4";"35.6971";"-0.633634";"0.0218977";"0";"289.712";"0";"0.0559366";"-0.110137";"5.67683";"7.05353";"0";"1593536307243"
"5";"35.6971";"-0.63359";"2.24153";"0";"182.302";"0";"0.0652396";"0.196331";"4.92742";"6.58186";"0";"1593536308094"
"6";"35.6971";"-0.633505";"2.68715";"0";"183.01";"0";"0.00660103";"0.155628";"5.08305";"6.74228";"0";"1593536309038"
"7";"35.697";"-0.633472";"3.17171";"0";"178.056";"0";"0.0935317";"-1.70233";"7.779";"11.368";"0";"1593536310068"
"8";"35.697";"-0.633459";"2.81115";"0";"180.331";"0";"0.0207425";"-1.91542";"6.66806";"9.58189";"0";"1593536311050"
"9";"35.6969";"-0.633451";"3.12929";"0";"179.505";"0";"0.0507893";"0.390267";"5.5212";"4.7694";"0";"1593536312087"
"10";"35.6969";"-0.633451";"3.13223";"0";"179.506";"0";"0.0662866";"2.16203";"5.56908";"8.3225";"0";"1593536312328"
"11";"35.6969";"-0.633461";"0.637455";"0";"280.297";"0";"0.036834";"1.80528";"6.51243";"8.21236";"0";"1593536313049"
"12";"35.6969";"-0.633481";"1.02176";"0";"157.466";"0";"0.0893793";"0.29689";"4.30491";"6.51482";"0";"1593536314002"
"13";"35.6968";"-0.633488";"2.19806";"0";"167.811";"0";"0.019544";"-0.205908";"5.66246";"8.17884";"0";"1593536315439"
"14";"35.6968";"-0.633482";"3.77661";"0";"174.71";"0";"0.0184554";"0.622511";"6.09582";"7.35042";"0";"1593536316433"
"15";"35.6967";"-0.633478";"3.89763";"0";"175.556";"0";"0.0688069";"1.36953";"6.00963";"7.80294";"0";"1593536317244"
"16";"35.6967";"-0.633475";"3.90819";"0";"176.379";"0";"0.0246553";"0.378295";"5.52599";"7.44619";"0";"1593536317474"
"17";"35.6967";"-0.63347";"3.70147";"0";"177.403";"0";"0.00812318";"-0.354353";"5.90907";"7.1493";"0";"1593536318446"
"18";"35.6966";"-0.633467";"3.32055";"0";"174.554";"0";"0.0321887";"-1.27136";"5.85161";"8.4901";"0";"1593536319450"
"19";"35.6966";"-0.633465";"1.8296";"0";"350.824";"0";"0.010016";"-0.191542";"6.32807";"7.36479";"0";"1593536320457"
"20";"35.6966";"-0.633468";"0.139486";"0";"359.752";"0";"0.00656481";"-0.430969";"6.76143";"7.14212";"0";"1593536321429"
"21";"35.6966";"-0.633468";"0.134774";"0";"359.742";"0";"0.347005";"-0.241822";"9.82131";"7.53478";"0";"1593536322301"
"22";"35.6966";"-0.633467";"0.00419099";"0";"0.313236";"0";"0.0295742";"1.67839";"5.07347";"7.00325";"0";"1593536322498"
"23";"35.6966";"-0.633467";"0.00466586";"0";"180.002";"0";"0.0982761";"-3.83323";"9.60583";"6.34722";"0";"1593536323461"
"24";"35.6966";"-0.633467";"0.00224234";"0";"179.942";"0";"0.0108804";"-3.27297";"4.22829";"8.34884";"0";"1593536324429"
"25";"35.6966";"-0.633467";"0.00412998";"0";"179.996";"0";"0.0126227";"-2.44216";"4.54194";"8.93304";"0";"1593536325454"
"26";"35.6966";"-0.633465";"0.00199386";"0";"179.966";"0";"0.0215971";"-2.5499";"4.93699";"7.87716";"0";"1593536326457"
"27";"35.6966";"-0.633464";"0.00440041";"0";"179.335";"0";"0.007828";"-2.05189";"4.45335";"8.71995";"0";"1593536327334"
"28";"35.6966";"-0.633462";"0.00656561";"0";"179.053";"0";"0.00765864";"-1.65444";"4.69757";"8.78938";"0";"1593536327481"
"29";"35.6966";"-0.63346";"0.00221788";"0";"179.965";"0";"0.0305566";"-1.77895";"4.49166";"8.66967";"0";"1593536328462"
"30";"35.6966";"-0.633459";"0.00132541";"0";"179.965";"0";"0.313798";"-4.58743";"3.08861";"9.4526";"0";"1593536329428"
"31";"35.6966";"-0.633457";"0.000801209";"0";"179.949";"0";"0.0169186";"-2.54511";"4.21871";"8.32729";"0";"1593536330435"
"32";"35.6966";"-0.633456";"0.000253699";"0";"179.826";"0";"0.0304031";"-3.58662";"4.31448";"7.87238";"0";"1593536331448"
"33";"35.6966";"-0.633456";"0.00048552";"0";"176.145";"0";"0.0234128";"-1.81486";"5.18839";"8.8229";"0";"1593536332433"
"34";"35.6966";"-0.633455";"0.0003733";"0";"174.7";"0";"0.0198752";"-1.73824";"5.02798";"8.22912";"0";"1593536332578"
"35";"35.6966";"-0.633454";"9.68544e-05";"0";"179.766";"0";"0.00837606";"-2.19794";"5.07826";"7.84604";"0";"1593536333437"
"36";"35.6966";"-0.633454";"4.15641e-05";"0";"179.773";"0";"0.0483808";"3.40466";"5.77739";"8.11899";"0";"1593536334426"
"37";"35.6966";"-0.633454";"2.93375e-05";"0";"179.615";"0";"0.0161175";"-3.12453";"3.22269";"8.51883";"0";"1593536335464"
"38";"35.6966";"-0.633454";"1.27101e-05";"0";"179.671";"0";"0.00537126";"-3.21072";"3.14129";"8.88515";"0";"1593536336423"
"39";"35.6966";"-0.633454";"1.94183e-05";"0";"175.652";"0";"0.00830822";"-3.71352";"3.08861";"8.71037";"0";"1593536337376"
"40";"35.6966";"-0.633454";"1.22253e-05";"0";"173.393";"0";"0.00598536";"-2.08062";"3.27537";"8.75826";"0";"1593536337528"
"41";"35.6966";"-0.633454";"3.27548e-06";"0";"179.694";"0";"0.00459361";"-2.9282";"3.13889";"8.9067";"0";"1593536338439"
"42";"35.6966";"-0.633454";"1.60369e-06";"0";"179.698";"0";"0.00812318";"-1.2977";"6.28018";"6.47891";"0";"1593536339419"
"43";"35.6966";"-0.633454";"1.04902e-06";"0";"179.626";"0";"0.0153852";"-0.222668";"6.31131";"7.56351";"0";"1593536340432"
"44";"35.6966";"-0.633454";"3.8975e-07";"0";"179.65";"0";"0.0424965";"-3.24664";"5.47092";"7.42943";"0";"1593536341457"
"45";"35.6966";"-0.633454";"2.87621e-07";"0";"179.245";"0";"0.0347506";"0.632089";"4.72151";"8.91628";"0";"1593536342464"
"46";"35.6966";"-0.633454";"3.04551e-07";"0";"178.345";"0";"0.0184279";"0.663214";"4.92981";"8.42066";"0";"1593536342637"
"47";"35.6966";"-0.633449";"0.0674687";"0";"349.837";"0";"0.0134747";"0.452518";"5.34402";"7.68802";"0";"1593536343490"
"48";"35.6966";"-0.633444";"0.0862699";"0";"350.975";"0";"0.145951";"1.3384";"4.84362";"8.95459";"0";"1593536344410"
"49";"35.6966";"-0.633442";"0.0416097";"0";"351.722";"0";"0.00620542";"1.2139";"4.97291";"8.20757";"0";"1593536345454"
"50";"35.6966";"-0.633441";"0.244217";"0";"94.3671";"0";"0.0239552";"1.17798";"5.54753";"8.04716";"0";"1593536346440"
"51";"35.6966";"-0.633438";"0.209307";"0";"93.9342";"0";"0.0238454";"1.69036";"6.03836";"7.70238";"0";"1593536347453"
"52";"35.6966";"-0.633437";"0.209611";"0";"93.9373";"0";"0.0120872";"1.4222";"6.27779";"7.76463";"0";"1593536347820"
"53";"35.6966";"-0.633435";"0.951994";"0";"171.031";"0";"0.073499";"1.73824";"8.64812";"6.09103";"0";"1593536348493"
"54";"35.6966";"-0.633432";"2.00094";"0";"169.227";"0";"0.0662802";"-0.373507";"5.66725";"10.6713";"0";"1593536349482"
"55";"35.6965";"-0.63343";"2.76089";"0";"173.852";"0";"0.0473125";"-0.383084";"6.89312";"5.82766";"0";"1593536350489"
"56";"35.6965";"-0.633428";"3.83758";"0";"176.337";"0";"0.00444858";"-1.05588";"6.91467";"6.47891";"0";"1593536351457"
"57";"35.6965";"-0.633426";"4.57753";"0";"173.831";"0";"0.230129";"-0.29689";"8.51883";"3.73507";"1";"1593536352372"
"58";"35.6964";"-0.633424";"4.59081";"0";"173.939";"0";"0.0303648";"-1.19953";"7.81491";"8.1549";"0";"1593536352881"
"59";"35.6964";"-0.633419";"5.24118";"0";"171.123";"0";"0.0837638";"1.74782";"5.85879";"6.46933";"0";"1593536353531"
"60";"35.6963";"-0.633408";"5.69369";"0";"172.223";"0";"0.115644";"-0.0167599";"5.0184";"7.09902";"0";"1593536354474"
"61";"35.6963";"-0.633399";"6.03349";"0";"174.042";"0";"0.0507564";"-0.117319";"4.62813";"6.93143";"0";"1593536355440"
"62";"35.6962";"-0.633393";"6.27869";"0";"174.256";"0";"0.00847864";"-0.988836";"5.29853";"7.36958";"0";"1593536356492"
"63";"35.6961";"-0.633387";"7.35861";"0";"174.698";"0";"0.0131228";"-0.469278";"5.00643";"8.63615";"0";"1593536357469"
"64";"35.696";"-0.633381";"7.94136";"0";"174.689";"0";"0.0180884";"-0.447729";"4.95375";"7.37676";"0";"1593536358456"
"65";"35.6959";"-0.633374";"8.17886";"0";"175.178";"0";"0.0201965";"-0.459701";"5.0615";"8.25546";"0";"1593536359483"
"66";"35.6959";"-0.63337";"8.15368";"0";"175.589";"0";"0.0207339";"-0.933767";"5.28177";"10.5372";"0";"1593536360464"
"67";"35.6958";"-0.633367";"7.89027";"0";"175.706";"0";"0.0178512";"-0.301679";"4.01999";"8.76065";"0";"1593536361475"
"68";"35.6957";"-0.633365";"7.16149";"0";"176.76";"0";"0.0795799";"-1.60177";"2.99524";"10.1589";"0";"1593536362480"
"69";"35.6957";"-0.633363";"5.95101";"0";"172.665";"0";"0.0281872";"-1.17559";"3.65366";"8.35602";"0";"1593536363471"
"70";"35.6956";"-0.633358";"4.61356";"0";"161.823";"0";"0.220991";"-2.88031";"5.99048";"16.9108";"0";"1593536364500"
"71";"35.6956";"-0.633352";"4.11774";"0";"151.849";"0";"0.0227936";"-3.6393";"4.8915";"11.9331";"0";"1593536365451"
"72";"35.6956";"-0.633335";"3.50851";"0";"129.067";"0";"0.0103813";"-1.49403";"5.6026";"7.49169";"0";"1593536366467"
"73";"35.6956";"-0.633307";"3.43182";"0";"100.488";"0";"0.0145755";"-0.234639";"7.06551";"8.22433";"0";"1593536367480"
"74";"35.6956";"-0.633276";"3.75285";"0";"82.7104";"0";"0.0215998";"-1.78134";"6.41905";"7.78858";"0";"1593536368471"
"75";"35.6956";"-0.633223";"4.53729";"0";"72.584";"0";"0.0214489";"-1.04869";"6.88593";"7.9466";"0";"1593536369454"
"76";"35.6956";"-0.633158";"5.48773";"0";"58.1187";"0";"0.0158903";"-1.05588";"6.5675";"6.58426";"0";"1593536370440"
"77";"35.6956";"-0.633081";"6.94895";"0";"53.7854";"0";"0.00414334";"-0.737437";"4.95375";"7.98251";"0";"1593536371440"
"78";"35.6957";"-0.633";"7.82334";"0";"54.2962";"0";"0.0369568";"-0.495615";"5.605";"7.82688";"0";"1593536372475"
"79";"35.6957";"-0.632912";"8.23294";"0";"54.8375";"0";"0.047795";"-0.186753";"5.85161";"9.06712";"0";"1593536373507"
"80";"35.6958";"-0.632823";"8.5451";"0";"55.2818";"0";"0.0206965";"-0.876305";"5.77978";"8.97135";"0";"1593536374472"
"81";"35.6958";"-0.632734";"8.78918";"0";"55.6016";"0";"0.0781518";"-3.35198";"4.32406";"7.50605";"0";"1593536375516"
"82";"35.6959";"-0.632647";"9.0111";"0";"54.5571";"0";"0.193356";"-0.579414";"3.89549";"8.82051";"0";"1593536376464"
"83";"35.6959";"-0.632562";"9.26511";"0";"51.422";"0";"0.0122269";"-1.23545";"5.26501";"8.69122";"0";"1593536377426"
"84";"35.696";"-0.632478";"9.51996";"0";"51.588";"0";"0.0339462";"-0.859545";"4.77418";"7.45817";"0";"1593536378434"
"85";"35.6961";"-0.632391";"9.71391";"0";"52.9842";"0";"0.0217086";"-1.84838";"5.95696";"9.87878";"0";"1593536379447"
"86";"35.6961";"-0.632302";"9.78143";"0";"54.2566";"0";"0.029809";"-1.30249";"4.93939";"7.4869";"0";"1593536380446"
"87";"35.6962";"-0.632213";"9.68331";"0";"54.8209";"0";"0.0599004";"-0.996018";"5.03037";"9.04557";"0";"1593536381455"
"88";"35.6962";"-0.632126";"9.5192";"0";"55.521";"0";"0.0338821";"-0.94095";"5.04713";"7.98251";"0";"1593536382471"
"89";"35.6963";"-0.632041";"9.42656";"0";"55.7882";"0";"0.0251283";"-1.19714";"5.25783";"9.77822";"0";"1593536383487"
"90";"35.6963";"-0.631958";"9.15056";"0";"54.8013";"0";"0.0211537";"-0.524346";"4.6401";"7.02001";"0";"1593536384503"
"91";"35.6963";"-0.63188";"8.79692";"0";"54.9567";"0";"0.013783";"-1.84838";"5.15248";"9.15331";"0";"1593536385451"
"92";"35.6964";"-0.631805";"8.34931";"0";"55.0992";"0";"0.0256913";"-1.43656";"4.95136";"8.57629";"0";"1593536386479"
"93";"35.6964";"-0.631733";"8.03264";"0";"55.0716";"0";"0.0255797";"-0.964893";"3.95774";"7.05353";"0";"1593536387452"
"94";"35.6965";"-0.631662";"7.93629";"0";"53.1519";"0";"0.0472469";"-1.18277";"5.34163";"8.13575";"0";"1593536388477"
"95";"35.6965";"-0.631593";"7.85977";"0";"50.4193";"0";"0.037246";"-1.61853";"4.94418";"9.42147";"0";"1593536389470"
"96";"35.6966";"-0.63153";"7.66229";"0";"49.321";"0";"0.0442124";"-1.24263";"5.32487";"9.33049";"0";"1593536390514"
"97";"35.6966";"-0.631471";"7.3481";"0";"50.3971";"0";"0.062208";"-0.948133";"4.61377";"8.75107";"0";"1593536391467"
"98";"35.6967";"-0.631413";"6.77678";"0";"50.9757";"0";"0.0529086";"-0.936161";"4.51081";"8.77981";"0";"1593536392494"
"99";"35.6967";"-0.631363";"6.2759";"0";"51.6433";"0";"0.0233848";"-2.11175";"5.2267";"8.32968";"0";"1593536393456"
"100";"35.6967";"-0.631314";"5.81202";"0";"52.3419";"0";"0.0290311";"-0.284919";"4.82686";"8.00885";"0";"1593536394475"
"101";"35.6968";"-0.631269";"5.52176";"0";"54.029";"0";"0.017744";"1.16841";"3.97689";"9.00487";"0";"1593536395469"
"102";"35.6968";"-0.631221";"5.34816";"0";"69.0561";"0";"0.0209356";"0.227456";"3.28016";"8.45658";"0";"1593536396506"
"103";"35.6968";"-0.631169";"4.74239";"0";"79.2424";"0";"0.0609178";"-1.59698";"4.27618";"9.98891";"0";"1593536397488"
"104";"35.6968";"-0.631133";"4.15121";"0";"84.8949";"0";"0.0159483";"-1.01517";"4.68799";"8.20279";"0";"1593536398488"
"105";"35.6968";"-0.63109";"2.86756";"0";"87.3129";"0";"0.00212844";"-1.18517";"3.75183";"9.39753";"0";"1593536399482"
"106";"35.6968";"-0.631076";"0.226701";"0";"89.9968";"0";"0.00280503";"-0.928979";"4.73588";"8.66488";"0";"1593536400452"
"107";"35.6968";"-0.631083";"0.0134351";"0";"90";"0";"0.00513872";"-0.818842";"4.47251";"8.6577";"0";"1593536401503"
"108";"35.6968";"-0.631088";"0.00198423";"0";"270";"0";"0.00484003";"-0.713494";"4.83644";"8.58348";"0";"1593536402421"
"109";"35.6968";"-0.631091";"0.00193341";"0";"270";"0";"0.00427087";"-0.787716";"5.20994";"8.2818";"0";"1593536403468"
"110";"35.6968";"-0.631092";"0.00426172";"0";"269.998";"0";"0.00252548";"-0.651243";"5.54035";"8.15729";"0";"1593536404346"
"111";"35.6968";"-0.631093";"0.00422451";"0";"269.998";"0";"0.00442171";"-1.06306";"5.53317";"8.36799";"0";"1593536404502"
"112";"35.6968";"-0.631094";"0.000915147";"0";"270";"0";"0.00454797";"-0.981653";"5.16684";"7.83167";"0";"1593536405499"
"113";"35.6968";"-0.631074";"0.888415";"0";"93.1495";"0";"0.0135453";"-0.129291";"7.53239";"10.2906";"0";"1593536406514"
"114";"35.6968";"-0.631045";"1.7461";"0";"95.2796";"0";"0.00885015";"-0.342381";"3.22509";"8.34165";"0";"1593536407564"
"115";"35.6968";"-0.631006";"3.08463";"0";"99.1466";"0";"0.106847";"-1.99922";"5.38472";"11.5213";"0";"1593536408462"
"116";"35.6968";"-0.630981";"3.23748";"0";"99.839";"0";"0.0695604";"-2.53554";"6.30652";"8.98332";"0";"1593536409079"
"117";"35.6968";"-0.630956";"3.45143";"0";"100.507";"0";"0.00878935";"-0.936161";"5.26501";"7.96096";"0";"1593536409460"
"118";"35.6968";"-0.630915";"3.27383";"0";"98.6526";"0";"0.0105888";"-1.4198";"5.25543";"8.7415";"0";"1593536410475"
"119";"35.6968";"-0.630875";"2.66561";"0";"91.4832";"0";"0.0116656";"-1.95133";"2.55948";"9.86441";"0";"1593536411475"
"120";"35.6968";"-0.630855";"0.208439";"0";"90";"0";"0.00725082";"-0.919402";"4.33124";"8.9929";"0";"1593536412465"
"121";"35.6968";"-0.630859";"0.0135826";"0";"90";"0";"0.00797882";"-0.802082";"6.55313";"6.88115";"0";"1593536413463"
"122";"35.6968";"-0.630859";"0.008878";"0";"90";"0";"0.00966781";"-1.24502";"7.03438";"6.71355";"0";"1593536414089"
"123";"35.6968";"-0.630862";"0.00699341";"0";"270";"0";"0.0064457";"-1.84359";"7.28338";"6.97931";"0";"1593536414485"
"124";"35.6968";"-0.630842";"2.14591";"0";"52.795";"0";"0.0335861";"-3.52198";"5.94738";"8.29137";"0";"1593536415456"
"125";"35.6968";"-0.630806";"2.96343";"0";"41.3731";"0";"0.0446611";"-2.94496";"6.85002";"6.9434";"0";"1593536416489"
"126";"35.6968";"-0.630767";"4.4504";"0";"25.5996";"0";"0.00672184";"-1.89627";"6.33765";"7.52042";"0";"1593536417453"
"127";"35.6969";"-0.630736";"5.73589";"0";"16.6062";"0";"0.028559";"-0.646454";"4.80292";"7.01762";"0";"1593536418429"
"128";"35.697";"-0.630711";"6.15622";"0";"14.6694";"0";"0.0627118";"-0.943344";"5.48768";"8.14053";"0";"1593536419461"
"129";"35.697";"-0.630693";"6.34232";"0";"11.9984";"0";"0.0197353";"-1.32403";"5.45176";"7.66886";"0";"1593536420454"
"130";"35.6971";"-0.630679";"6.3708";"0";"10.7275";"0";"0.0187598";"-1.43656";"5.61218";"7.92505";"0";"1593536421457"
"131";"35.6972";"-0.630668";"6.36345";"0";"9.47866";"0";"0.0240619";"-1.59938";"5.3129";"8.47094";"0";"1593536422484"
"132";"35.6972";"-0.630658";"6.36177";"0";"7.80339";"0";"0.0285486";"-1.57783";"5.26022";"8.21236";"0";"1593536423435"
"133";"35.6973";"-0.63065";"6.33721";"0";"7.08993";"0";"0.0160229";"-1.31446";"4.96333";"8.02561";"0";"1593536424441"
"134";"35.6973";"-0.630647";"6.29516";"0";"5.79936";"0";"0.0289632";"-1.32164";"5.43261";"8.87558";"0";"1593536425441"
"135";"35.6974";"-0.630641";"6.24638";"0";"5.78318";"0";"0.00794134";"-1.23305";"6.05991";"9.55795";"0";"1593536426466"
"136";"35.6974";"-0.630636";"6.20183";"0";"6.27548";"0";"0.0147483";"-1.7574";"5.91386";"8.05434";"0";"1593536427464"
"137";"35.6975";"-0.63063";"6.16982";"0";"6.44663";"0";"0.0601725";"-1.07264";"5.00164";"8.68643";"0";"1593536428459"
"138";"35.6975";"-0.630624";"6.1509";"0";"5.44029";"0";"0.0248732";"-1.15643";"4.95136";"8.25785";"0";"1593536429476"
"139";"35.6976";"-0.630618";"6.10767";"0";"5.09677";"0";"0.00505103";"-0.57702";"4.65208";"8.33447";"0";"1593536430481"
"140";"35.6976";"-0.630612";"6.03034";"0";"7.51237";"0";"0.0840781";"-0.972076";"5.20994";"8.77023";"0";"1593536431430"
"141";"35.6977";"-0.630601";"5.94649";"0";"11.1827";"0";"0.0350631";"-0.512375";"3.85957";"6.68482";"0";"1593536432438"
"142";"35.6977";"-0.630586";"5.88983";"0";"12.5455";"0";"0.0341877";"-2.14527";"5.34163";"8.22673";"0";"1593536433468"
"143";"35.6978";"-0.630571";"5.80928";"0";"13.7077";"0";"0.0364394";"-1.52036";"5.3943";"8.33208";"0";"1593536434441"
"144";"35.6978";"-0.630556";"5.74455";"0";"11.3805";"0";"0.0543135";"-1.24742";"5.63373";"7.97294";"0";"1593536435438"
"145";"35.6979";"-0.630544";"5.66611";"0";"10.4758";"0";"0.0242002";"-0.761379";"5.14769";"7.80055";"0";"1593536436454"
"146";"35.6979";"-0.630533";"5.61012";"0";"10.209";"0";"0.0479345";"-1.77895";"5.62176";"8.61221";"0";"1593536437468"
"147";"35.6979";"-0.630522";"5.5926";"0";"8.23234";"0";"0.0357008";"-0.854756";"5.2267";"7.60661";"0";"1593536438427"
"148";"35.698";"-0.630513";"5.57831";"0";"7.43835";"0";"0.0367449";"-1.75021";"5.23867";"8.31771";"0";"1593536439432"
"149";"35.698";"-0.630505";"5.56722";"0";"7.77816";"0";"0.060108";"-0.905036";"4.67362";"8.42066";"0";"1593536440467"
"150";"35.6981";"-0.630497";"5.56362";"0";"7.24982";"0";"0.0371924";"-0.433364";"4.14688";"8.42306";"0";"1593536441424"
"151";"35.6981";"-0.63049";"5.51978";"0";"7.67979";"0";"0.00324817";"-1.06545";"5.41585";"8.20039";"0";"1593536442454"
"152";"35.6982";"-0.630483";"5.45016";"0";"8.46062";"0";"0.0267651";"-0.696734";"5.07826";"9.49569";"0";"1593536443462"
"153";"35.6982";"-0.630474";"5.30857";"0";"14.2286";"0";"0.0579001";"-0.462095";"5.04713";"8.75586";"0";"1593536444430"
"154";"35.6983";"-0.630461";"5.16335";"0";"20.3837";"0";"0.0515656";"0.699128";"4.34082";"8.94501";"0";"1593536445457"
"155";"35.6983";"-0.630444";"4.9833";"0";"29.7582";"0";"0.0432962";"-1.07503";"6.47891";"7.64253";"0";"1593536446456"
"156";"35.6983";"-0.630422";"4.86579";"0";"32.1556";"0";"0.103225";"-0.919402";"6.1892";"6.25145";"0";"1593536447482"
"157";"35.6983";"-0.630409";"4.86517";"0";"26.5473";"0";"0.0183631";"-0.871516";"4.17322";"4.71433";"0";"1593536448478"
"158";"35.6984";"-0.63039";"4.8089";"0";"16.839";"0";"0.0508491";"-0.95771";"4.69517";"8.94501";"0";"1593536449445"
"159";"35.6984";"-0.630379";"4.64229";"0";"8.84694";"0";"0.0288911";"-0.390267";"2.2602";"9.35443";"0";"1593536450464"
"160";"35.6984";"-0.630376";"4.46714";"0";"1.12134";"0";"0.0433911";"-1.03193";"4.49166";"8.93783";"0";"1593536451451"
"161";"35.6985";"-0.630378";"4.1306";"0";"359.439";"0";"0.0148188";"-0.814053";"4.05111";"8.76783";"0";"1593536452493"
"162";"35.6985";"-0.63038";"2.42312";"0";"358.916";"0";"0.00452829";"-0.433364";"5.44937";"8.22673";"0";"1593536453448"
"163";"35.6985";"-0.630381";"2.38464";"0";"358.845";"0";"0.00578275";"-0.545895";"5.12614";"8.37039";"0";"1593536454055"
"164";"35.6985";"-0.630382";"1.37643";"0";"358.941";"0";"0.00963688";"-0.634483";"5.05192";"8.41348";"0";"1593536454511"
"165";"35.6985";"-0.630382";"0.130123";"0";"359.77";"0";"0.0152705";"-0.574626";"5.12614";"8.31053";"0";"1593536455440"
"166";"35.6985";"-0.630382";"0.0214129";"0";"359.103";"0";"0.00521356";"-0.588992";"5.13333";"8.50925";"0";"1593536456460"
"167";"35.6985";"-0.630382";"0.0139448";"0";"358.768";"0";"0.00242924";"-0.653637";"5.12614";"8.35362";"0";"1593536457446"
"168";"35.6984";"-0.630382";"0.00910282";"0";"358.823";"0";"0.00265212";"-0.629694";"5.1429";"8.43982";"0";"1593536458457"
"169";"35.6984";"-0.630382";"0.00630021";"0";"358.299";"0";"0.00540996";"-0.636877";"5.11896";"8.44221";"0";"1593536459026"
"170";"35.6984";"-0.630382";"0.0142339";"0";"358.594";"0";"0.00921638";"-0.718282";"5.08305";"8.40869";"0";"1593536459504"
"171";"35.6984";"-0.630383";"0.0218639";"0";"358.939";"0";"0.00580848";"-0.67758";"5.15727";"8.4063";"0";"1593536460460"
"172";"35.6984";"-0.630383";"0.0149381";"0";"359.002";"0";"0.00805688";"-0.67758";"5.09981";"8.42306";"0";"1593536461448"
"173";"35.6984";"-0.630383";"0.015719";"0";"358.972";"0";"0.00253726";"-0.656031";"5.16684";"8.42545";"0";"1593536462437"
"174";"35.6984";"-0.630383";"0.0356553";"0";"358.943";"0";"0.0100101";"-0.632089";"5.13333";"8.37278";"0";"1593536463440"
"175";"35.6984";"-0.630383";"0.0350063";"0";"358.923";"0";"0.00587478";"-0.603357";"5.21234";"8.2794";"0";"1593536464128"
"176";"35.6984";"-0.630383";"0.0236708";"0";"358.972";"0";"0.00448191";"-0.656031";"5.16684";"8.41348";"0";"1593536464440"
"177";"35.6984";"-0.630383";"0.0205478";"0";"358.991";"0";"0.00599533";"-0.67758";"5.11896";"8.47094";"0";"1593536465459"
"178";"35.6984";"-0.630384";"0.0465668";"0";"358.947";"0";"0.00449522";"-0.636877";"5.06389";"8.4039";"0";"1593536466426"
"179";"35.6984";"-0.630384";"0.0662541";"0";"358.966";"0";"0.00854519";"-0.6273";"5.12375";"8.18363";"0";"1593536467406"
"180";"35.6984";"-0.630384";"0.0420213";"0";"359.026";"0";"0.00732443";"-0.691945";"5.03277";"8.43264";"0";"1593536468426"
"181";"35.6984";"-0.630384";"0.0404584";"0";"358.988";"0";"0.00651469";"-0.668003";"5.12135";"8.31053";"0";"1593536469098"
"182";"35.6984";"-0.630384";"0.0488602";"0";"358.847";"0";"0.0047216";"-0.612934";"5.13093";"8.38715";"0";"1593536469488"
"183";"35.6984";"-0.630385";"0.740164";"0";"358.927";"0";"0.00778599";"-0.665608";"5.13093";"8.44221";"0";"1593536470433"
"184";"35.6984";"-0.630385";"0.604794";"0";"334.999";"0";"0.0026068";"-0.720677";"5.13093";"8.33447";"0";"1593536471411"
"185";"35.6984";"-0.630387";"0.381263";"0";"334.61";"0";"0.00521929";"-0.64406";"5.24107";"8.20757";"0";"1593536472398"
"186";"35.6984";"-0.630389";"0.252756";"0";"334.464";"0";"0.0183777";"-0.550683";"4.93699";"8.43742";"0";"1593536473429"
"187";"35.6984";"-0.630389";"0.249717";"0";"334.198";"0";"0.0048585";"-0.33041";"5.02079";"8.50925";"0";"1593536474100"
"188";"35.6984";"-0.630389";"0.031614";"0";"343.894";"0";"0.0222416";"-0.430969";"5.32487";"8.25546";"0";"1593536474454"
"189";"35.6984";"-0.630389";"0.024211";"0";"334.061";"0";"0.00480295";"-0.299284";"5.35599";"8.19321";"0";"1593536475444"
"190";"35.6984";"-0.630389";"0.00899128";"0";"335.162";"0";"0.00292978";"-0.371113";"5.49247";"8.24349";"0";"1593536476412"
"191";"35.6984";"-0.630389";"0.0190098";"0";"333.105";"0";"0.00483387";"-0.378295";"5.40388";"8.16448";"0";"1593536477432"
"192";"35.6984";"-0.630389";"0.0251275";"0";"333.523";"0";"0.0071139";"-0.36393";"5.38233";"8.21476";"0";"1593536478458"
"193";"35.6984";"-0.630389";"0.0248364";"0";"333.205";"0";"0.018272";"-0.500403";"5.42543";"8.92825";"0";"1593536479144"
"194";"35.6984";"-0.630389";"0.0290919";"0";"332.867";"0";"0.00259535";"-0.569837";"5.26501";"8.43503";"0";"1593536479457"
"195";"35.6984";"-0.630389";"0.0312552";"0";"333.704";"0";"0.00864574";"-1.06785";"5.29614";"8.21236";"0";"1593536480405"
"196";"35.6984";"-0.63039";"0.0254303";"0";"333.864";"0";"0.00885016";"-1.07982";"5.11417";"8.55953";"0";"1593536481452"
"197";"35.6984";"-0.63039";"0.0263679";"0";"333.193";"0";"0.00857299";"-0.859545";"5.38233";"8.12617";"0";"1593536482433"
"198";"35.6984";"-0.630392";"0.0448466";"0";"332.903";"0";"0.00578274";"-0.909824";"5.1453";"8.45897";"0";"1593536483435"
